Ems_loss_v: 0.003168115	ST_loss: 24.588209152	LT_loss: 15.942070961	loss: 0.003208646
Ems_loss_v: 0.001979138	ST_loss: 21.418025970	LT_loss: 22.208198547	loss: 0.002022764
Ems_loss_v: 0.002206324	ST_loss: 23.337953568	LT_loss: 8.347014427	loss: 0.002238009
Ems_loss_v: 0.001829159	ST_loss: 25.376041412	LT_loss: 25.003717422	loss: 0.001879538
Ems_loss_v: 0.002282579	ST_loss: 27.790676117	LT_loss: 37.341800690	loss: 0.002347711
Ems_loss_v: 0.001633896	ST_loss: 32.506530762	LT_loss: 4.408588409	loss: 0.001670811
Ems_loss_v: 0.002233155	ST_loss: 21.398120880	LT_loss: 2.529415607	loss: 0.002257083
Ems_loss_v: 0.001884800	ST_loss: 26.861581802	LT_loss: 19.721689224	loss: 0.001931384
Ems_loss_v: 0.002195504	ST_loss: 21.154739380	LT_loss: 3.056590796	loss: 0.002219716
Ems_loss_v: 0.002166054	ST_loss: 22.131837845	LT_loss: 18.879323959	loss: 0.002207065
Ems_loss_v: 0.002131334	ST_loss: 25.311954498	LT_loss: 32.537040710	loss: 0.002189183
Ems_loss_v: 0.001797622	ST_loss: 21.047063828	LT_loss: 48.126289368	loss: 0.001866796
Ems_loss_v: 0.002688032	ST_loss: 26.628694534	LT_loss: 20.730260849	loss: 0.002735391
Ems_loss_v: 0.002204630	ST_loss: 18.507472992	LT_loss: 15.503661156	loss: 0.002238641
Ems_loss_v: 0.002522993	ST_loss: 24.451236725	LT_loss: 34.582065582	loss: 0.002582026
Ems_loss_v: 0.002260478	ST_loss: 28.365345001	LT_loss: 3.192956209	loss: 0.002292037
Ems_loss_v: 0.002282483	ST_loss: 20.404897690	LT_loss: 20.293348312	loss: 0.002323181
